prefix_tokens,mean_next_token_entropy,silhouette_score,model_id,participation_ratio,effective_rank
70,0.08832003390196526,,Qwen/Qwen2.5-7B-Instruct,0.007103028574160167,0.03311677064214434
80,0.10267469074484868,,Qwen/Qwen2.5-7B-Instruct,0.007186522973435265,0.03584429195949009
90,0.1104485600002958,,Qwen/Qwen2.5-7B-Instruct,0.00721616404397147,0.03780842253140041
100,0.10337554423598744,,Qwen/Qwen2.5-7B-Instruct,0.007250784763268062,0.03974965640476772
110,0.09753414377289155,,Qwen/Qwen2.5-7B-Instruct,0.007244788642440524,0.04089006781578064
120,0.11211293125631172,,Qwen/Qwen2.5-7B-Instruct,0.007285668913807187,0.0421167824949537
130,0.11151132986336497,,Qwen/Qwen2.5-7B-Instruct,0.007233680891139167,0.0426205609525953
140,0.13093155629845943,,Qwen/Qwen2.5-7B-Instruct,0.0072636763964380536,0.04319008759089878
150,0.14055915221828463,,Qwen/Qwen2.5-7B-Instruct,0.007275565394333431,0.043612803731645854
10,0.0015505526083605147,,Qwen/Qwen2.5-14B-Instruct,0.007184088706970215,0.008807225227355957
20,0.01909902286842772,,Qwen/Qwen2.5-14B-Instruct,0.007315183639526367,0.010552001953125
30,0.1773395683423827,,Qwen/Qwen2.5-14B-Instruct,0.005252271016438802,0.011339022318522135
40,0.08145943813782976,,Qwen/Qwen2.5-14B-Instruct,0.00415403413772583,0.011950252532958984
50,0.100278121681618,,Qwen/Qwen2.5-14B-Instruct,0.00368912353515625,0.012698343658447266
60,0.09389791895458184,,Qwen/Qwen2.5-14B-Instruct,0.0038028646260499952,0.014773307740688324
70,0.09223628895219266,,Qwen/Qwen2.5-14B-Instruct,0.003962423279881477,0.01681566536426544
80,0.10624372340677837,,Qwen/Qwen2.5-14B-Instruct,0.004087591543793678,0.01850280612707138
90,0.11547124126177716,,Qwen/Qwen2.5-14B-Instruct,0.004176754504442215,0.019816219806671143
100,0.10727738251880956,,Qwen/Qwen2.5-14B-Instruct,0.00423591434955597,0.02086082100868225
110,0.10363961620818404,,Qwen/Qwen2.5-14B-Instruct,0.004283016547560692,0.021700964868068696
120,0.10801550097340895,,Qwen/Qwen2.5-14B-Instruct,0.004346174374222756,0.02256598174571991
130,0.11577797778297157,,Qwen/Qwen2.5-14B-Instruct,0.004352884367108345,0.023131023347377776
140,0.1356124274288478,,Qwen/Qwen2.5-14B-Instruct,0.00435982272028923,0.023514415323734283
150,0.13930502817826537,,Qwen/Qwen2.5-14B-Instruct,0.004357264563441277,0.023768796026706694
10,0.05660467673719436,,Qwen/Qwen2.5-1.5B-Instruct,0.007291126728057862,0.008881142616271973
20,0.10578868423071226,,Qwen/Qwen2.5-1.5B-Instruct,0.00760043536623319,0.011849090456962585
30,0.19127966107834593,,Qwen/Qwen2.5-1.5B-Instruct,0.007133906707167625,0.017152786254882812
40,0.09311951713449038,,Qwen/Qwen2.5-1.5B-Instruct,0.007628884166479111,0.02625266710917155
50,0.10696621582425662,,Qwen/Qwen2.5-1.5B-Instruct,0.008667830377817154,0.03687832752863566
60,0.10501189246788473,,Qwen/Qwen2.5-1.5B-Instruct,0.009827282900611559,0.046797012289365135
70,0.09727172889265331,,Qwen/Qwen2.5-1.5B-Instruct,0.010824936131636301,0.055104667941729225
80,0.11391231014415344,,Qwen/Qwen2.5-1.5B-Instruct,0.011605150997638702,0.06176095207532247
90,0.13664361695110824,,Qwen/Qwen2.5-1.5B-Instruct,0.012213909377654394,0.06702020764350891
100,0.12248447704416711,,Qwen/Qwen2.5-1.5B-Instruct,0.01274180660645167,0.07135515411694844
110,0.1157328721135074,,Qwen/Qwen2.5-1.5B-Instruct,0.01314739758769671,0.07473553717136383
